Verkäufe,Gewicht,Fettgehalt,Visibilität,Typ,Max_Preis,Ladengrösse
1274.3412,13.85,Low Fat,0.034640466,Hard Drinks,116.1492,Supermarket Type1
2109.2544,NA,Low Fat,0,Dairy,89.1856,Supermarket Type3
1593.9252,13.8,Regular,0.064307102,Fruits and Vegetables,77.3012,Supermarket Type1
2625.9152,7.475,Low Fat,0.076036381,Household,153.9656,Supermarket Type2
4823.721,18.7,Regular,0.071091591,Frozen Foods,228.601,Supermarket Type1
119.844,12.5,Low Fat,0.187841082,Canned,119.244,Grocery Store
540.6296,15.85,Low Fat,0.043234574,Starchy Foods,38.3164,Supermarket Type1
4211.185,NA,Low Fat,0.026055106,Fruits and Vegetables,169.5474,Supermarket Type3
4492.8184,20.75,Low Fat,0.109153001,Snack Foods,161.3578,Supermarket Type2
1188.453,5.82,Low Fat,0.08062523,Household,168.379,Supermarket Type1
175.7712,5.785,Regular,0.0901292,Fruits and Vegetables,89.8856,Grocery Store
4138.6128,13.1,Regular,0.098938169,Frozen Foods,195.7768,Supermarket Type1
3579.3408,10.1,Regular,0,Fruits and Vegetables,225.1088,Supermarket Type1
3848.324,16.75,Low Fat,0.032580547,Health and Hygiene,192.1162,Supermarket Type1
4960.21,NA,Low Fat,0.097937252,Meat,98.9042,Supermarket Type3
5383.6588,17.1,Regular,0,Fruits and Vegetables,208.5638,Supermarket Type1
2241.0828,7.42,Low Fat,0.020391845,Snack Foods,248.9092,Supermarket Type1
671.1264,7.51,Low Fat,0.103813029,Snack Foods,113.7544,Supermarket Type1
177.7686,NA,Low Fat,0.031069203,Canned,179.6686,Grocery Store
486.034,NA,Low Fat,0.062294473,Snack Foods,242.417,Grocery Store
2380.235,19.2,Regular,0.022914478,Fruits and Vegetables,181.195,Supermarket Type1
201.0716,18.6,Low Fat,0.152058281,Breakfast,99.9358,Supermarket Type1
651.8182,7.105,Low Fat,0.044991294,Household,59.2562,Supermarket Type2
3968.168,4.92,Low Fat,0.046214971,Baking Goods,199.8084,Supermarket Type1
4187.2162,11,Regular,0.13312044,Canned,221.5798,Supermarket Type1
170.4448,7.68,Low Fat,0.255348289,Health and Hygiene,84.4224,Grocery Store
3078.6592,13.15,Low Fat,0.036879539,Frozen Foods,181.3976,Supermarket Type1
4394.28,7.52,Regular,0.044202545,Baking Goods,182.995,Supermarket Type2
2577.9776,8.895,Regular,0.137858955,Frozen Foods,162.1236,Supermarket Type1
2628.5784,4.805,Regular,0.037668051,Dairy,126.7704,Supermarket Type1
222.3772,NA,Low Fat,0.224837308,Fruits and Vegetables,112.7886,Grocery Store
1707.777,7.785,Low Fat,0.089069748,Fruits and Vegetables,62.751,Supermarket Type2
1278.336,8.975,Regular,0.053027398,Canned,86.0224,Supermarket Type1
5522.811,NA,Low Fat,0.118099673,Household,262.891,Supermarket Type3
4013.4424,9.3,Low Fat,0,Frozen Foods,182.9292,Supermarket Type1
7646.0472,10.895,Low Fat,0.137023446,Dairy,263.7568,Supermarket Type1
1768.3648,15,Regular,0.026950104,Baking Goods,220.9456,Supermarket Type2
5626.01,12.15,Low Fat,0,Health and Hygiene,224.4404,Supermarket Type2
3078.6592,16.7,Regular,0.119362812,Fruits and Vegetables,180.3976,Supermarket Type1
3874.956,15.1,Regular,0.067350054,Snack Foods,257.3304,Supermarket Type2
1713.7692,8.02,Low Fat,0,Household,157.7972,Supermarket Type1
1492.7236,19.35,reg,0.049712775,Fruits and Vegetables,78.2644,Supermarket Type1
4006.7844,20.7,Regular,0.122208091,Frozen Foods,119.7466,Supermarket Type1
3368.948,NA,Low Fat,0.138742518,Snack Foods,147.476,Supermarket Type3
1245.046,4.59,Low Fat,0.070780558,Soft Drinks,114.586,Supermarket Type1
95.2094,18.1,Low Fat,0.037492325,Fruits and Vegetables,95.5094,Grocery Store
2388.8904000000002,12.85,Low Fat,0.053527105,Health and Hygiene,185.1608,Supermarket Type1
575.2512,16.75,low fat,0.076164013,Health and Hygiene,34.0532,Supermarket Type1
3755.112,14.85,Regular,0.009995002,Snack Foods,154.463,Supermarket Type1
1182.4608,8.235,Low Fat,0.08259502,Baking Goods,149.1076,Supermarket Type1
262.3252,6.425,Low Fat,0.063122753,Breakfast,131.3626,Supermarket Type1
1342.2528,6.59,Low Fat,0.105597316,Fruits and Vegetables,83.4908,Supermarket Type1
5478.2024,NA,Regular,0.021863506,Fruits and Vegetables,247.0092,Supermarket Type3
4629.9732,NA,Low Fat,0.063800266,Health and Hygiene,123.0414,Supermarket Type3
1644.526,6.36,Low Fat,0.006012413,Household,163.0526,Supermarket Type1
1258.362,17.35,Regular,0.063207198,Baking Goods,89.383,Supermarket Type1
729.7168,8.6,Low Fat,0.069809115,Household,90.5146,Supermarket Type1
2220.443,17.7,Low Fat,0.011660463,Frozen Foods,96.541,Supermarket Type2
3749.7856,7.6,Regular,0.142410775,Starchy Foods,171.9448,Supermarket Type1
236.359,19.6,Low Fat,0.024226902,Dairy,48.7718,Supermarket Type1
2043.3402,NA,Low Fat,0.082440705,Household,61.3194,Supermarket Type3
1641.8628,9.3,Low Fat,0.066918731,Frozen Foods,184.2292,Supermarket Type1
1943.4702,20.2,Low Fat,0.074390007,Household,91.4462,Supermarket Type1
4923.591,11.35,Regular,0.005530516,Fruits and Vegetables,171.179,Supermarket Type1
2554.0088,16.5,Low Fat,0.028579565,Snack Foods,90.3146,Supermarket Type1
2320.9788,17.1,Low Fat,0.038705317,Household,165.0842,Supermarket Type1
808.947,4.88,Regular,0,Baking Goods,53.1298,Supermarket Type1
1330.2684,10.195,Low Fat,0.108004532,Snack Foods,148.7076,Supermarket Type1
2475.4444,12.8,Regular,0.023626808,Meat,223.2404,Supermarket Type2
716.4008,NA,Low Fat,0.070660449,Fruits and Vegetables,180.4002,Grocery Store
3091.9752,8.05,Regular,0.078719835,Fruits and Vegetables,258.5646,Supermarket Type2
1605.9096,20.6,reg,0.046208155,Snack Foods,178.0344,Supermarket Type2
78.5644,6.32,Low Fat,0.012769753,Meat,39.9822,Supermarket Type2
3410.2276,5.465,Regular,0.048486801,Baking Goods,131.2626,Supermarket Type1
677.1186,18.25,Low Fat,0.132596101,Frozen Foods,226.2062,Grocery Store
2050.664,14.5,Regular,0.128459481,Baking Goods,102.0332,Supermarket Type1
829.5868,15.7,Low Fat,0.161317495,Household,57.5562,Supermarket Type2
660.4736,9.6,Low Fat,0.011211251,Household,166.9184,Grocery Store
1229.0668,20.7,reg,0.114294512,Dairy,94.9436,Supermarket Type1
2727.7826,6.055,Low Fat,0.031103357,Fruits and Vegetables,159.9578,Supermarket Type1
2330.3,5.655,LF,0.085274988,Fruits and Vegetables,165.05,Supermarket Type1
1304.968,6.78,Low Fat,0.066892471,Fruits and Vegetables,186.424,Supermarket Type2
483.3708,NA,Low Fat,0.078764059,Dairy,241.3854,Grocery Store
4153.9262,6.865,Regular,0.036042939,Frozen Foods,244.4486,Supermarket Type1
187.0898,6.61,Regular,0.04855968,Snack Foods,188.4898,Grocery Store
3877.6192,NA,Low Fat,0.082602127,Baking Goods,120.9756,Supermarket Type3
1462.0968,12.6,Low Fat,0.064240743,Health and Hygiene,121.9414,Supermarket Type1
1765.0358,6.055,Low Fat,0.031230059,Fruits and Vegetables,160.3578,Supermarket Type2
3554.7062,20.2,Low Fat,0.100114941,Household,188.3898,Supermarket Type1
167.7816,NA,Regular,0.22417463,Snack Foods,168.8816,Grocery Store
446.7518,14.15,Low Fat,0.035943717,Soft Drinks,40.5138,Supermarket Type1
3101.2964,16.5,Regular,0.06619442,Breakfast,184.4292,Supermarket Type1
1898.8616,13.3,Regular,0.071439051,Fruits and Vegetables,61.0536,Supermarket Type1
6179.9556,9.195,Low Fat,0.108059141,Snack Foods,181.7634,Supermarket Type1
6668.6528,NA,Low Fat,0.026216144,Frozen Foods,207.5954,Supermarket Type3
1342.2528,9,Low Fat,0.085938463,Snack Foods,168.6816,Supermarket Type1
3095.97,15.7,Regular,0.008734284,Meat,207.898,Supermarket Type1
2173.1712,18.1,Low Fat,0.049016517,Household,128.7336,Supermarket Type1
1677.816,NA,Low Fat,0.111554381,Snack Foods,59.822,Supermarket Type3
5285.1204,15.7,Regular,0.030672457,Snack Foods,253.1724,Supermarket Type1
2804.3496,9.195,Regular,0.077995641,Meat,107.1596,Supermarket Type1
1773.6912,NA,Low Fat,0.085715273,Frozen Foods,146.6076,Supermarket Type3
4660.6,13.85,Regular,0.056432784,Breakfast,234.93,Supermarket Type1
126.502,20.2,Low Fat,0.066200667,Household,61.451,Supermarket Type2
171.7764,NA,Regular,0.245542627,Seafood,172.2764,Grocery Store
1603.2464,13.65,reg,0.0127517,Snack Foods,55.5588,Supermarket Type1
2133.2232,15,Regular,0.077949334,Meat,238.7248,Supermarket Type1
372.848,10.695,Low Fat,0.064022881,Household,36.0848,Supermarket Type2
1867.569,NA,Regular,0.182407266,Dairy,109.157,Supermarket Type3
319.584,14,Regular,0.136328794,Frozen Foods,54.864,Supermarket Type2
4221.172,6.655,Low Fat,0.016958832,Fruits and Vegetables,210.0586,Supermarket Type1
1031.99,16.5,Regular,0.068125756,Canned,101.199,Supermarket Type1
1808.3128,9.6,Regular,0.02734361,Snack Foods,257.8304,Supermarket Type1
1099.9016,6.55,Regular,0.034658144,Breads,155.8288,Supermarket Type1
1102.5648,16.25,low fat,0,Canned,89.8804,Supermarket Type1
2696.49,15.25,Regular,0.065841719,Snack Foods,179.866,Supermarket Type1
1235.059,9.695,Regular,0.029158763,Canned,174.537,Supermarket Type1
74.5696,NA,Low Fat,0.063649582,Frozen Foods,74.7696,Grocery Store
4950.8888,16,LF,0.05706009,Dairy,225.0404,Supermarket Type1
435.4332,15.85,Low Fat,0.11566015,Breads,218.3166,Grocery Store
2220.443,NA,Low Fat,0.075691713,Fruits and Vegetables,98.241,Supermarket Type3
3110.6176,18.85,Low Fat,0.167844438,Household,193.9136,Supermarket Type1
4514.124,6.215,Regular,0.049722335,Baking Goods,224.5062,Supermarket Type1
3889.6036,NA,Low Fat,0.14095631,Canned,167.7132,Supermarket Type3
1288.9888,11.8,Low Fat,0.058827557,Health and Hygiene,80.8618,Supermarket Type1
1733.0774,7.325,Low Fat,0.093765794,Fruits and Vegetables,90.3146,Supermarket Type2
1893.5352,10.5,Low Fat,0.048092816,Hard Drinks,159.2946,Supermarket Type1
1225.072,15.7,Regular,0.018968743,Fruits and Vegetables,61.9536,Supermarket Type1
2463.46,NA,Low Fat,0.024032484,Fruits and Vegetables,124.973,Supermarket Type3
1043.9744,13,Regular,0.070444232,Snack Foods,63.4484,Supermarket Type1
6574.775,13.5,Regular,0.125469442,Snack Foods,264.491,Supermarket Type1
1679.1476,6.865,Low Fat,0.01405025,Soft Drinks,128.9652,Supermarket Type2
2404.2038,7.785,Low Fat,0.139436695,Dairy,103.0306,Supermarket Type1
972.068,17.7,Regular,0.016593506,Fruits and Vegetables,46.9034,Supermarket Type1
277.6386,20.2,Low Fat,0.124261614,Household,93.6462,Grocery Store
1904.188,7.855,Low Fat,0.011261165,Canned,189.5188,Supermarket Type1
419.454,6.36,Low Fat,0.120520818,Fruits and Vegetables,45.906,Supermarket Type1
4809.7392,17,Regular,0.015965308,Snack Foods,229.4352,Supermarket Type1
1787.0072,5.78,Low Fat,0.096386227,Breads,163.5552,Supermarket Type1
2656.542,11.5,Low Fat,0.073029341,Fruits and Vegetables,187.953,Supermarket Type1
6942.9624,NA,Regular,0.043443753,Fruits and Vegetables,158.1946,Supermarket Type3
2375.5744,18.2,Low Fat,0.049520593,Fruits and Vegetables,147.3734,Supermarket Type2
4288.4178,18.25,Low Fat,0.079152918,Frozen Foods,223.8062,Supermarket Type1
990.7104,12.6,Low Fat,0.048741487,Breads,60.4194,Supermarket Type1
3511.4292,8.575,reg,0.071958197,Dairy,195.3794,Supermarket Type1
549.285,18.2,Low Fat,0.162147349,Fruits and Vegetables,37.719,Supermarket Type2
311.5944,8.115,reg,0.05382735,Canned,155.2972,Grocery Store
571.2564,12.65,Low Fat,0.069565759,Meat,52.4324,Supermarket Type1
419.454,NA,Low Fat,0.056019324,Frozen Foods,40.0454,Supermarket Type3
1537.998,8.775,Low Fat,0.109911272,Dairy,41.9428,Supermarket Type1
3755.112,5.94,Regular,0.029366813,Breads,187.7556,Supermarket Type1
1581.9408,18.85,Low Fat,0.055347985,Baking Goods,131.5284,Supermarket Type1
657.8104,9.8,Regular,0,Baking Goods,49.2008,Supermarket Type1
5528.1374,12.65,Regular,0.156926608,Fruits and Vegetables,238.3538,Supermarket Type1
2267.049,20.7,Low Fat,0.039405676,Household,149.8366,Supermarket Type2
718.3982,14.65,Low Fat,0.170176516,Hard Drinks,55.2614,Supermarket Type1
7073.4592,NA,Low Fat,0.033777629000000003,Frozen Foods,222.8456,Supermarket Type3
491.3604,15.85,Low Fat,0.057546914,Snack Foods,55.8956,Supermarket Type2
1052.6298,17.25,Regular,0.160095901,Fruits and Vegetables,61.5194,Supermarket Type1
263.6568,16,Regular,0.099832728,Frozen Foods,87.4856,Supermarket Type1
628.5152,6.32,Low Fat,0.012717946,Meat,40.2822,Supermarket Type1
1975.4286,6.525,LF,0.090278634,Household,86.7882,Supermarket Type1
3861.64,6.695,Low Fat,0,Starchy Foods,191.882,Supermarket Type1
2816.334,14.85,Regular,0.009958941,Snack Foods,157.963,Supermarket Type1
3131.9232,17.1,Low Fat,0.032678839,Frozen Foods,150.7392,Supermarket Type1
4122.6336,10.3,Regular,0,Fruits and Vegetables,115.0176,Supermarket Type1
3056.022,19.7,Low Fat,0.077849003,Baking Goods,179.166,Supermarket Type1
1478.076,10.695,Regular,0.011443222,Snack Foods,73.5038,Supermarket Type1
2626.581,7.285,Low Fat,0.031214809,Household,177.1054,Supermarket Type1
3306.3628,17.7,LF,0.051146565,Household,127.3678,Supermarket Type2
793.6336,18.25,Low Fat,0.015302653,Snack Foods,198.0084,Supermarket Type1
211.7244,5.175,Regular,0.04937018,Snack Foods,106.76220000000001,Grocery Store
1198.44,5.635,Low Fat,0,Baking Goods,148.705,Supermarket Type1
153.7998,6.035,Low Fat,0.236433601,Snack Foods,155.5998,Grocery Store
3057.3536,14.8,Low Fat,0.081372267,Meat,191.4846,Supermarket Type2
1537.998,18.25,Regular,0.18329488,Dairy,111.657,Supermarket Type1
360.8636,16.1,Regular,0.06358934,Dairy,179.4318,Supermarket Type2
513.3318,16.75,Low Fat,0.060792265,Dairy,170.4106,Supermarket Type2
4257.1252,17.7,Regular,0,Starchy Foods,184.3924,Supermarket Type1
7130.718,8.88,Low Fat,0.098775709,Household,208.927,Supermarket Type1
109.857,18.2,Low Fat,0.270300331,Fruits and Vegetables,38.319,Grocery Store
498.0184,11.15,low fat,0.119852889,Dairy,44.9744,Supermarket Type1
490.6946,20,LF,0.034563936,Baking Goods,45.3086,Supermarket Type1
5522.811,7.935,Low Fat,0.031710329,Household,263.091,Supermarket Type1
1657.842,20.1,LF,0.074778547,Dairy,110.7228,Supermarket Type1
3455.502,13.65,Regular,0.013035609,Fruits and Vegetables,114.7834,Supermarket Type1
75.9012,6.635,Regular,0.046277956,Frozen Foods,36.7506,Supermarket Type2
6771.186,18.25,Low Fat,0.0793795,Frozen Foods,226.1062,Supermarket Type1
988.713,11.15,Low Fat,0.073783159,Others,66.0142,Supermarket Type1
918.804,19.5,Low Fat,0.01572192,Household,185.6608,Supermarket Type1
3399.5748,6.48,LF,0.033952603,Snack Foods,148.2076,Supermarket Type1
1142.5128,11.15,Regular,0.105220024,Baking Goods,102.7648,Supermarket Type1
3560.6984,5.985,Low Fat,0.095715608,Frozen Foods,125.8678,Supermarket Type1
2759.0752,7.27,Low Fat,0.046822808,Health and Hygiene,99.3384,Supermarket Type1
3653.9104,6.78,Regular,0,Fruits and Vegetables,227.5694,Supermarket Type1
512.666,9.195,Regular,0.04731256,Frozen Foods,50.7666,Supermarket Type2
5608.6992,19.5,Regular,0.077108099,Soft Drinks,232.8958,Supermarket Type1
1426.1436,6.59,Low Fat,0.106027474,Fruits and Vegetables,83.9908,Supermarket Type2
6201.927,7.51,Low Fat,0.01742908,Fruits and Vegetables,229.601,Supermarket Type1
255.0014,NA,Low Fat,0.073229342,Household,254.1014,Grocery Store
1078.596,NA,Low Fat,0.157257637,Frozen Foods,215.0192,Grocery Store
1024.6662,NA,Low Fat,0.039988162,Frozen Foods,55.7298,Supermarket Type3
1322.2788,12.5,Low Fat,0.081119484,Meat,220.0798,Supermarket Type1
1231.73,17,Low Fat,0.052421981,Health and Hygiene,123.773,Supermarket Type2
2007.387,NA,Low Fat,0.070791391,Health and Hygiene,46.4086,Supermarket Type3
830.9184,12.65,Low Fat,0.069817659,Meat,53.5324,Supermarket Type1
577.9144,12.5,Regular,0.109971578,Fruits and Vegetables,82.7592,Supermarket Type1
1277.0044,18.7,Regular,0.091950972,Meat,184.2292,Supermarket Type2
2203.798,11,Regular,0.133145617,Canned,218.4798,Supermarket Type1
495.3552,NA,LF,0.046609281,Household,248.6776,Grocery Store
545.2902,7.35,Low Fat,0.028652919,Fruits and Vegetables,40.5454,Supermarket Type1
5536.7928,10.895,Low Fat,0.136696892,Dairy,264.5568,Supermarket Type1
990.7104,17.2,Regular,0.012002075,Canned,165.3184,Supermarket Type1
1474.0812,15.5,reg,0.025513973,Baking Goods,83.7934,Supermarket Type1
2055.3246,7.905,Low Fat,0.064194304,Hard Drinks,229.4694,Supermarket Type1
792.302,9.8,Low Fat,0.013920032,Soft Drinks,45.006,Supermarket Type1
649.8208,11.6,Regular,0.079251097,Frozen Foods,79.2276,Supermarket Type2
1078.596,NA,Regular,0.121043709,Baking Goods,59.422,Supermarket Type3
1114.5492,NA,Low Fat,0.048545853,Breads,60.1194,Supermarket Type3
1294.3152,5.825,LF,0.091467933,Household,159.7894,Supermarket Type1
1384.1982,16.35,Low Fat,0,Fruits and Vegetables,196.3426,Supermarket Type2
1869.5664,14.7,Low Fat,0.020916223,Hard Drinks,141.8128,Supermarket Type1
992.7078,11.6,LF,0,Soft Drinks,141.9154,Supermarket Type1
2972.797,16.75,Low Fat,0.104768536,Snack Foods,155.163,Supermarket Type1
2587.9646,12.5,Low Fat,0.020680499,Breads,197.2742,Supermarket Type1
254.3356,12.6,Regular,0.123727659,Dairy,253.0356,Grocery Store
3910.9092,12.35,Low Fat,0.163805509,Household,117.6124,Supermarket Type1
2113.2492,13.35,Low Fat,0.065082452,Baking Goods,93.0804,Supermarket Type1
665.8,NA,Regular,0.182128363,Baking Goods,165.65,Grocery Store
7116.0704,NA,Regular,0.01871404,Fruits and Vegetables,223.4772,Supermarket Type3
127.8336,NA,Low Fat,0.159096908,Hard Drinks,129.3336,Grocery Store
5326.4,6.63,Regular,0.103935018,Baking Goods,166.85,Supermarket Type1
4677.245,6.61,Regular,0.029129907,Snack Foods,188.4898,Supermarket Type2
1845.5976,19.6,Regular,0.128011859,Snack Foods,166.8816,Supermarket Type1
6524.84,13.6,Regular,0.119850541,Dairy,234.53,Supermarket Type1
3271.7412,NA,Low Fat,0.073985248,Snack Foods,252.5724,Supermarket Type3
982.055,19.25,Regular,0.027233781,Meat,197.511,Supermarket Type1
85.8882,NA,Low Fat,0.079440262,Soft Drinks,86.7882,Grocery Store
6426.3016,20,Regular,0.060022526,Baking Goods,168.7132,Supermarket Type1
6769.8544,NA,Low Fat,0.02110482,Canned,217.0824,Supermarket Type3
481.3734,20.75,Low Fat,0.181958524,Snack Foods,161.0578,Grocery Store
3340.3186,7.235,Low Fat,0.058222587,Snack Foods,114.8834,Supermarket Type1
1058.622,NA,Low Fat,0.054723717,Health and Hygiene,36.6874,Supermarket Type3
1491.392,6.78,Low Fat,0.066724663,Fruits and Vegetables,187.724,Supermarket Type1
886.8456,7.3,Low Fat,0.144167934,Frozen Foods,146.3076,Grocery Store
3795.06,12.3,Low Fat,0.052458358,Household,188.753,Supermarket Type1
2490.092,16.85,Low Fat,0.139985583,Snack Foods,145.276,Supermarket Type2
563.9326,14.65,Regular,0.099286298,Snack Foods,49.8666,Supermarket Type1
3129.26,15.6,Low Fat,0.037680711,Snack Foods,123.7704,Supermarket Type1
1230.3984,17.35,Low Fat,0.168064909,Household,176.2712,Supermarket Type2
3261.7542,16,Low Fat,0.090111173,Dairy,141.3154,Supermarket Type1
1197.7742,17,Low Fat,0.136286138,Fruits and Vegetables,170.9106,Supermarket Type2
2111.2518,11.5,reg,0.125857678,Frozen Foods,100.5358,Supermarket Type1
2055.9904,5.695,Regular,0.067700925,Breads,256.5988,Supermarket Type1
1193.1136,15.2,Low Fat,0.112896669,Soft Drinks,36.0848,Supermarket Type1
1761.7068,9.1,Low Fat,0.173973652,Baking Goods,126.5362,Supermarket Type1
2636.568,16.85,Low Fat,0,Snack Foods,146.076,Supermarket Type1
790.9704,11.15,Low Fat,0.073516952,Others,65.9142,Supermarket Type1
2980.1208,17,Low Fat,0.119285634,Frozen Foods,247.4434,Supermarket Type1
3419.5488,7.47,Regular,0.153011599,Frozen Foods,215.2218,Supermarket Type1
834.9132,20.7,Low Fat,0.04875891,Fruits and Vegetables,37.3506,Supermarket Type1
3779.0808,15.6,Regular,0.105276162,Snack Foods,173.2764,Supermarket Type1
814.9392,17.7,Regular,0.122123201,Meat,100.7674,Supermarket Type1
1114.5492,13,Low Fat,0.082970667,Household,60.0194,Supermarket Type1
866.8716,14,Regular,0.029782937,Dairy,146.3786,Supermarket Type1
2396.88,18.85,Regular,0.067953506,Dairy,119.044,Supermarket Type1
1999.3974,15.7,Low Fat,0.03722507,Soft Drinks,182.4634,Supermarket Type1
468.7232,15.85,Low Fat,0.020487625,Household,44.0112,Supermarket Type1
1342.2528,6.175,Regular,0.179077475,Meat,94.3752,Supermarket Type1
218.3824,NA,low fat,0.037131628,Canned,216.4824,Grocery Store
614.5334,16,Regular,0.017547958,Meat,48.3718,Supermarket Type1
1426.1436,13.15,Low Fat,0.093191195,Household,158.1604,Supermarket Type1
1537.998,16.5,Regular,0.079875237,Fruits and Vegetables,102.7332,Supermarket Type1
939.4438,14.65,Low Fat,0.01125332,Others,57.0614,Supermarket Type1
3418.883,13.5,Regular,0.125170423,Snack Foods,261.491,Supermarket Type1
404.8064,10.1,Low Fat,0.032152004,Canned,50.6008,Supermarket Type1
974.0654,11.85,Regular,0.056033565,Baking Goods,51.4666,Supermarket Type1
2406.867,9.285,Regular,0.021049215,Snack Foods,161.0578,Supermarket Type1
5626.01,12.8,Regular,0.023526504,Meat,223.5404,Supermarket Type1
5956.9126,6.235,Low Fat,0.020229757,Household,260.8962,Supermarket Type1
6404.996,12.15,Low Fat,0.131445848,Frozen Foods,246.846,Supermarket Type1
216.385,NA,Low Fat,0.083862625,Health and Hygiene,44.077,Grocery Store
1158.492,12.35,reg,0.18614827,Baking Goods,78.2328,Supermarket Type1
202.4032,9.195,Regular,0.204713036,Fruits and Vegetables,101.0016,Grocery Store
2342.9502,16.2,Low Fat,0.036057562,Fruits and Vegetables,260.3278,Supermarket Type2
2976.7918,7.285,Low Fat,0.031327839,Household,174.6054,Supermarket Type1
3131.9232,7.05,Regular,0.055558509,Breads,224.7088,Supermarket Type1
108.5254,NA,Low Fat,0,Frozen Foods,109.9254,Grocery Store
4448.2098,14.5,Regular,0.063863551,Breads,262.3594,Supermarket Type1
1442.1228,13.35,Low Fat,0,Dairy,75.7012,Supermarket Type1
2841.6344,11.5,Low Fat,0,Fruits and Vegetables,128.4652,Supermarket Type1
2876.256,12.1,Low Fat,0.016852909,Hard Drinks,180.666,Supermarket Type1
1001.3632,11.8,Regular,0.094037241,Snack Foods,124.5704,Supermarket Type2
982.7208,7.05,Low Fat,0.085312137,Snack Foods,107.4912,Supermarket Type2
3547.3824,NA,Low Fat,0.053764023,Seafood,195.7768,Supermarket Type3
3125.931,18.75,Low Fat,0.010365546,Household,207.0954,Supermarket Type1
3142.576,19.25,Regular,0.027135522,Meat,196.311,Supermarket Type1
1398.18,16.2,Low Fat,0,Canned,100.57,Supermarket Type1
4427.57,8.31,reg,0.116148596,Snack Foods,176.0028,Supermarket Type2
1956.1204,13.1,Low Fat,0.075363922,Dairy,73.8354,Supermarket Type1
3078.6592,13.5,Low Fat,0.021496403,Fruits and Vegetables,180.5976,Supermarket Type1
1018.674,11.15,Regular,0.085931544,Snack Foods,169.679,Supermarket Type1
687.1056,7.5,Low Fat,0.096806008,Household,56.2588,Supermarket Type2
3787.0704,NA,low fat,0.04778563,Hard Drinks,156.5946,Supermarket Type3
2748.4224,15.6,Regular,0.105725004,Snack Foods,169.9764,Supermarket Type2
109.1912,NA,Low Fat,0.148764535,Snack Foods,111.1912,Grocery Store
2609.936,6.78,Low Fat,0.066997921,Fruits and Vegetables,186.524,Supermarket Type1
4516.7872,16,Low Fat,0.040938155,Snack Foods,141.1496,Supermarket Type1
2319.6472,NA,Regular,0.014661762,Canned,89.1172,Supermarket Type3
3629.2758,10.5,LF,0.048213766,Hard Drinks,159.6946,Supermarket Type2
2087.9488,17.1,Low Fat,0.032761024,Frozen Foods,148.8392,Supermarket Type2
1557.972,7.535,Low Fat,0,Soft Drinks,121.644,Supermarket Type1
2364.9216,15.1,Low Fat,0.025988508,Frozen Foods,146.6076,Supermarket Type1
4138.6128,15.1,Low Fat,0.026140452,Frozen Foods,149.0076,Supermarket Type1
3171.8712,10,low fat,0.025932408,Canned,264.7226,Supermarket Type2
2243.746,20.85,Low Fat,0.098170402,Starchy Foods,224.0746,Supermarket Type1
724.3904,16.7,Regular,0.119439636,Fruits and Vegetables,182.1976,Supermarket Type1
145.1444,8.315,Regular,0.059540542,Baking Goods,143.6444,Grocery Store
175.1054,NA,Low Fat,0.044122209,Snack Foods,173.8054,Grocery Store
4111.9808,16.75,Low Fat,0.081304829,Fruits and Vegetables,258.4988,Supermarket Type1
492.692,NA,Low Fat,0.081014461,Baking Goods,98.8384,Grocery Store
1022.6688,12.5,Low Fat,0.006775667,Household,42.9112,Supermarket Type1
194.4136,6.8,Low Fat,0.03749705,Baking Goods,49.9034,Supermarket Type1
2808.3444,7.3,Low Fat,0.086060695,Frozen Foods,149.8076,Supermarket Type1
852.224,15.85,Low Fat,0.020519478,Household,42.5112,Supermarket Type1
828.921,12.1,Regular,0.061163967,Soft Drinks,56.5614,Supermarket Type1
323.5788,9.195,Regular,0.07821891,Meat,107.6596,Supermarket Type1
2942.836,7.59,Regular,0.14492016,Fruits and Vegetables,174.708,Supermarket Type1
359.532,12.15,Low Fat,0.062235983,Starchy Foods,34.5532,Supermarket Type1
719.064,19.75,Regular,0.030166924,Frozen Foods,179.766,Grocery Store
2360.9268,18.85,Low Fat,0.016104504,Health and Hygiene,130.2626,Supermarket Type1
2735.1064,12.15,LF,0.01544786,Frozen Foods,211.2928,Supermarket Type1
3677.2134,13.1,Low Fat,0.037574137,Fruits and Vegetables,174.2054,Supermarket Type1
3842.9976,NA,Low Fat,0.106876976,Snack Foods,146.7076,Supermarket Type3
199.74,NA,Low Fat,0.32111501,Fruits and Vegetables,100.77,Grocery Store
171.7764,7.895,Regular,0.061124626,Breakfast,58.5588,Supermarket Type1
120.5098,NA,Regular,0.127599399,Snack Foods,118.9098,Grocery Store
628.5152,16.75,Low Fat,0.029785889,Snack Foods,38.9822,Supermarket Type1
2946.165,16.35,Low Fat,0,Household,198.211,Supermarket Type1
1789.6704,8.21,Low Fat,0.010762387,Hard Drinks,149.5392,Supermarket Type1
468.7232,15.85,Low Fat,0.108206497,Soft Drinks,58.3904,Supermarket Type1
1597.92,16.2,Low Fat,0.063127333,Canned,100.47,Supermarket Type1
3681.874,17.5,Low Fat,0.02687089,Frozen Foods,264.491,Supermarket Type1
317.5866,NA,Low Fat,0.099681705,Baking Goods,107.4622,Grocery Store
1977.426,13.65,Regular,0.072898645,Frozen Foods,198.1426,Supermarket Type1
